skill
Python
Pandas
NumPy
SQL
PostgreSQL
MySQL
dbt
Tableau
Power BI
Airflow
Docker
Kubernetes
Git
GitHub
Linux
Bash
ETL
ELT
Data Engineering
Machine Learning
Deep Learning
NLP
spaCy
scikit-learn
TensorFlow
PyTorch
XGBoost
LightGBM
CatBoost
Hugging Face
Transformers
FAISS
Vector DB
LangChain
R
Excel
Matplotlib
Seaborn
Plotly
Altair
Great Expectations
MLflow
Streamlit
FastAPI
Flask
Ray
Dask
AWS
GCP
Azure
S3
Redshift
BigQuery
Snowflake
Kafka
Spark
Delta Lake
PostGIS
GeoPandas
